# The parameters of TF are omega_0=0.3075, omega_b=0.0486, h=0.6774, ns=0.9667
#k       T_0
0.0001  0.999897539444
0.00010202  0.999893421557
0.00010408  0.999889141158
0.00010618  0.999884693636
0.00010833  0.999880052515
0.00011052  0.999875233994
0.00011275  0.999870233219
0.00011503  0.999865022195
0.00011735  0.999859618115
0.00011972  0.999853991931
0.00012214  0.999848137115
0.00012461  0.999842047028
0.00012712  0.999835740281
0.00012969  0.999829159766
0.00013231  0.999822323397
0.00013499  0.999815197252
0.00013771  0.999807827314
0.00014049  0.999800152083
0.00014333  0.999792162582
0.00014623  0.999783849679
0.00014918  0.999775233568
0.0001522  0.999766246409
0.00015527  0.999756938154
0.00015841  0.999747238441
0.00016161  0.99973716743
0.00016487  0.999726715106
0.0001682  0.999715838348
0.0001716  0.999704525018
0.00017507  0.999692762787
0.0001786  0.99968057398
0.00018221  0.999667876845
0.00018589  0.9996546927
0.00018965  0.99964097165
0.00019348  0.999626735916
0.00019739  0.999611933849
0.00020138  0.999596549723
0.00020544  0.999580607212
0.00020959  0.999564011615
0.00021383  0.999546744355
0.00021815  0.999528828413
0.00022255  0.999510246943
0.00022705  0.999490896119
0.00023164  0.999470798144
0.00023632  0.999449933115
0.00024109  0.999428280878
0.00024596  0.999405774407
0.00025093  0.999382390545
0.000256  0.99935810583
0.00026117  0.999332896505
0.00026645  0.999306688451
0.00027183  0.999279505635
0.00027732  0.999251271553
0.00028292  0.999221958558
0.00028864  0.999191484937
0.00029447  0.999159874248
0.00030042  0.999127042208
0.00030649  0.99909295697
0.00031268  0.99905758633
0.00031899  0.999020897743
0.00032544  0.998982738996
0.00033201  0.9989431921
0.00033872  0.998902099965
0.00034556  0.998859485184
0.00035254  0.998815246416
0.00035966  0.998769342617
0.00036693  0.998721666219
0.00037434  0.998672239293
0.0003819  0.998620951233
0.00038962  0.998567686462
0.00039749  0.998512465815
0.00040552  0.998455170547
0.00041371  0.998395749903
0.00042207  0.998334078347
0.0004306  0.998270100636
0.00043929  0.998203837976
0.00044817  0.99813500366
0.00045722  0.998063692456
0.00046646  0.997989686071
0.00047588  0.997913001562
0.0004855  0.997833410686
0.0004953  0.997751013104
0.00050531  0.997665488362
0.00051552  0.997576849213
0.00052593  0.997485024658
0.00053656  0.997389762751
0.00054739  0.997291166859
0.00055845  0.997188885535
0.00056973  0.997082928296
0.00058124  0.996973117926
0.00059299  0.996859271025
0.00060496  0.996741495359
0.00061719  0.996619306609
0.00062965  0.99649291128
0.00064237  0.996361911653
0.00065535  0.99622620722
0.00066859  0.996085697332
0.0006821  0.995940172763
0.00069588  0.99578952799
0.00070993  0.995633657513
0.00072427  0.995472229166
0.00073891  0.995305012812
0.00075383  0.995132121919
0.00076906  0.994953091609
0.0007846  0.994767797372
0.00080045  0.994576115
0.00081662  0.994377797203
0.00083311  0.994172715538
0.00084994  0.99396048821
0.00086711  0.993740977558
0.00088463  0.993513916141
0.0009025  0.993279162517
0.00092073  0.993036442116
0.00093933  0.992785474252
0.00095831  0.992525972174
0.00097767  0.992257782556
0.00099742  0.991980612155
0.0010176  0.991693732714
0.0010381  0.991398561782
0.0010591  0.991092344003
0.0010805  0.990776353708
0.0011023  0.990450436621
0.0011246  0.990112917933
0.0011473  0.989765133645
0.0011705  0.989405376636
0.0011941  0.989035025168
0.0012182  0.988652340426
0.0012429  0.988255512033
0.001268  0.987847561802
0.0012936  0.987426704623
0.0013197  0.986992756242
0.0013464  0.986543845637
0.0013736  0.986081449761
0.0014013  0.985605396581
0.0014296  0.985113772077
0.0014585  0.984606357742
0.001488  0.984082940212
0.001518  0.983545113495
0.0015487  0.982989089816
0.00158  0.982416456308
0.0016119  0.981827022763
0.0016445  0.981218730401
0.0016777  0.980593240889
0.0017116  0.97994847323
0.0017462  0.979284210957
0.0017814  0.97860219193
0.0018174  0.977898340722
0.0018541  0.97717439421
0.0018916  0.976428170804
0.0019298  0.97566146069
0.0019688  0.974872066851
0.0020086  0.974059783924
0.0020491  0.973226482958
0.0020905  0.972367864942
0.0021328  0.971483708126
0.0021758  0.970578031603
0.0022198  0.969644343669
0.0022646  0.968686703814
0.0023104  0.967700665958
0.0023571  0.96668820261
0.0024047  0.965649170089
0.0024533  0.964581233904
0.0025028  0.963486454274
0.0025534  0.962360264859
0.002605  0.961204743235
0.0026576  0.96001977837
0.0027113  0.958803002939
0.002766  0.957556585037
0.0028219  0.956275868381
0.0028789  0.954963044582
0.0029371  0.953615730361
0.0029964  0.952236179486
0.0030569  0.950822023749
0.0031187  0.949370870857
0.0031817  0.947885035009
0.003246  0.94636214518
0.0033115  0.944804577905
0.0033784  0.943207592872
0.0034467  0.941571200893
0.0035163  0.939897845033
0.0035874  0.938182775017
0.0036598  0.936430896296
0.0037338  0.934635043991
0.0038092  0.932800179266
0.0038861  0.930924010847
0.0039646  0.929004246909
0.0040447  0.927041052407
0.0041264  0.92503461832
0.0042098  0.922982698644
0.0042948  0.920887989388
0.0043816  0.918745818039
0.0044701  0.916558929641
0.0045604  0.914325157149
0.0046525  0.912044826841
0.0047465  0.909715812776
0.0048424  0.90733848941
0.0049402  0.904913258077
0.00504  0.902438065673
0.0051419  0.899910884932
0.0052457  0.897337154977
0.0053517  0.894709943231
0.0054598  0.892032262542
0.0055701  0.889302196343
0.0056826  0.886520332728
0.0057974  0.883684815265
0.0059145  0.880796288459
0.006034  0.877852958652
0.0061559  0.874855527164
0.0062803  0.871802264771
0.0064072  0.868693929016
0.0065366  0.865531296961
0.0066686  0.862312727521
0.0068033  0.859036619753
0.0069408  0.855701414186
0.007081  0.852310424116
0.007224  0.848862131184
0.00737  0.845352656919
0.0075189  0.841785370694
0.0076708  0.838158850044
0.0078257  0.834474085337
